hsib1 hsib2 Probability
L0875 L0338 0.117
L0875 L1671 0.864
L0873 L0688 0.001
L0873 L1651 0.016
L2494 L0380 0.262
L2494 L0317 0.020
L2494 L1174 0.552
L2494 L1257 0.999
L2494 L1696 0.005
L2494 L0326 0.626
L2494 L0348 0.986
L2494 L1658 0.001
L2494 L0454 0.959
L2494 L1722 0.987
L1217 L0321 0.903
L1217 L0366 0.995
L1217 L0282 0.988
L1217 L0419 0.989
L1217 L0333 0.968
L0494 L0857 0.444
L0494 L2524 0.995
L0494 L0403 0.997
L0492 L1116 0.046
L0492 L1646 0.011
L0492 L1043 0.011
L0492 L0350 0.074
L0668 L0479 0.984
L0668 L1177 0.989
L0668 L1641 0.264
L1270 L1090 0.990
L1270 L2496 0.975
L1270 L0307 0.890
L1270 L1594 0.909
L1270 L1615 0.325
L0664 L1698 0.974
L0664 L0364 0.964
L0664 L0748 0.983
L2237 L1620 0.970
L2237 L0456 0.987
L2396 L1087 0.753
L2396 L1099 0.924
L2394 L0451 0.003
L2394 L0353 0.003
L2394 L1215 0.003
L2394 L1117 0.671
L2394 L1091 0.014
L2394 L1630 0.100
L2394 L0277 0.014
L2394 L0663 0.323
L0477 L1650 0.017
L0477 L0319 0.822
L0477 L0270 0.929
L0475 L1173 0.878
L0475 L1103 0.989
L0475 L1617 0.972
L0660 L0337 0.972
L0660 L1174 0.928
L0660 L0845 0.743
L0660 L0374 0.992
L0660 L1619 0.629
L0660 L1612 0.073
L0660 L0315 0.728
L0854 L0406 0.986
L0854 L0312 0.995
L0854 L1622 0.063
L0854 L1618 0.825
L0854 L0418 0.995
L1310 L1620 0.944
L1310 L0456 0.955
L1309 L1090 0.664
L1309 L1603 0.986
L1309 L1658 0.003
L1309 L1225 0.996
L0655 L2491 0.988
L0652 L0365 0.995
L0652 L0330 0.052
L0652 L1609 0.985
L0652 L0694 0.054
L0652 L1113 0.390
L0652 L1214 0.083
L0652 L1722 0.950
L2393 L1699 0.988
L2393 L1592 0.797
L2393 L0447 0.983
L0407 L2499 0.880
L0407 L0439 0.988
L0407 L0316 0.502
L0405 L1171 0.916
L0405 L1115 0.998
L0405 L2238 0.993
L0405 L0673 0.288
L0405 L0686 0.997
L0841 L2234 0.991
L0841 L1218 0.968
L0400 L0258 0.863
L0400 L1115 0.560
L0400 L1082 0.844
L0400 L0429 0.009
L0400 L0774 0.941
L0400 L0292 0.237
L0400 L0273 0.131
L0400 L0339 0.695
L0398 L1076 0.995
L0398 L0451 0.958
L0394 L0888 0.992
L0394 L0255 0.707
L0389 L1226 0.951
L0389 L0479 0.991
L0389 L1311 0.965
L0389 L1660 0.833
L0389 L1610 0.754
L0383 L1249 0.999
L0383 L0374 0.944
L0383 L0266 0.997
L0383 L1074 0.974
L0383 L1658 0.695
L0383 L1175 0.988
L0383 L0417 0.997
L0380 L0317 0.876
L0380 L1174 0.128
L0380 L1257 0.987
L0380 L1696 0.618
L0380 L0326 0.726
L0380 L0454 0.489
L0380 L1722 0.805
L0378 L1320 0.991
L0378 L0409 0.821
L0378 L0354 0.436
L0375 L1089 0.872
L0375 L0315 0.981
L0838 L0361 0.022
L0838 L0891 0.092
L0365 L0330 0.983
L0365 L1609 0.491
L0365 L0694 0.987
L0365 L1214 0.903
L0365 L1722 0.148
L0363 L1312 0.991
L0363 L0406 0.503
L0363 L1304 0.409
L0361 L0267 0.825
L0361 L1274 0.532
L0361 L0689 0.586
L0361 L1263 0.696
L0361 L1100 0.177
L0361 L0431 0.114
L0361 L1671 0.090
L0361 L0690 0.983
L0360 L1606 0.065
L0360 L1604 0.097
L0643 L1700 0.977
L0643 L2527 0.951
L0355 L1219 0.984
L0355 L0473 0.621
L0355 L0408 0.929
L0355 L1304 0.287
L0355 L1223 0.072
L0835 L0662 0.037
L0835 L0847 0.037
L0835 L1624 0.327
L0352 L0298 0.965
L0352 L1262 0.724
L0352 L1083 0.091
L0352 L1055 0.005
L0352 L0666 0.782
L0342 L0411 0.965
L0342 L2491 0.244
L0342 L1604 0.040
L0337 L1174 0.940
L0337 L1118 0.983
L0337 L1609 0.924
L0337 L0845 0.698
L0337 L0374 0.997
L0337 L0641 0.998
L0337 L1619 0.741
L0337 L1107 0.917
L0337 L0445 0.959
L0330 L1609 0.749
L0330 L0694 0.918
L0330 L1602 0.034
L0330 L1214 0.986
L0330 L1722 0.356
L0323 L0659 0.996
L0323 L0392 0.960
L0321 L0279 0.001
L0321 L0975 0.002
L0321 L0282 0.942
L0321 L1645 0.002
L0317 L1174 0.989
L0317 L1257 0.990
L0317 L0326 0.164
L0317 L0348 0.005
L0317 L0454 0.910
L0317 L1722 0.014
L0317 L0388 0.005
L1631 L0474 0.018
L1631 L0836 0.502
L1631 L1658 0.058
L0298 L1262 0.994
L0298 L0878 0.989
L0298 L0399 0.048
L0298 L1083 0.139
L0298 L1055 1.000
L0298 L0666 0.945
L0301 L0270 0.887
L0301 L0468 0.999
L0293 L1010 0.003
L0293 L0388 0.034
L0290 L0362 0.634
L0290 L0285 0.946
L0290 L0277 0.851
L0283 L0662 0.994
L0283 L1221 0.744
L0283 L2527 0.970
L0283 L2488 0.355
L0284 L1597 0.893
L0279 L0672 0.985
L0279 L1111 0.105
L0271 L0263 0.991
L0834 L0467 0.998
L0834 L0349 0.991
L0834 L0391 0.997
L0267 L0689 0.980
L0267 L0414 0.989
L0267 L0690 0.851
L0267 L0343 0.967
L0267 L0368 0.931
L0261 L0482 0.001
L0261 L0853 0.001
L0258 L1115 0.784
L0258 L1082 0.994
L0258 L0429 0.986
L0258 L0292 0.196
L1174 L1257 0.064
L1174 L0845 0.464
L1174 L1696 0.313
L1174 L0374 0.647
