hsib1 hsib2 Probability
L1592 L0447 0.880
L0484 L0320 0.976
L0482 L0402 0.548
L0482 L0853 0.845
L0481 L1181 0.998
L0481 L1628 0.003
L0481 L0345 0.997
L0457 L1315 0.990
L1676 L0650 0.998
L0447 L0373 0.985
L0454 L1722 0.939
L0485 L1278 0.991
L1688 L0423 0.998
L1688 L2231 0.998
L1065 L1109 0.942
L1065 L1614 0.996
L0428 L0335 0.972
L1097 L0440 0.990
L1097 L1674 0.055
L1108 L0673 0.692
L1211 L0274 0.977
L1211 L2235 0.718
L1211 L0666 0.817
L0440 L0349 0.252
L0440 L1316 0.968
L1214 L1722 0.980
L1175 L0417 0.996
L1179 L0371 0.979
L1629 L0372 0.001
L0274 L2442 0.458
L0274 L2232 0.788
L0274 L2235 0.831
L0274 L0417 0.991
L0289 L1181 0.701
L0297 L1313 0.980
L0297 L0372 0.004
L1630 L0328 0.638
L0311 L0388 0.004
L0320 L0382 0.264
L0320 L0853 0.864
L0320 L2233 0.134
L0320 L0275 0.587
L0327 L1628 0.003
L0328 L0663 0.240
L0338 L0341 0.989
L0338 L1671 0.802
L0339 L0886 0.796
L0349 L0391 0.952
L0349 L1316 0.983
L0354 L1218 0.993
L0354 L0395 0.763
L0379 L0403 0.992
L0379 L0437 0.978
L0382 L0853 0.016
L0382 L2233 0.995
L0382 L0275 0.837
L0403 L0437 0.513
L2230 L0486 0.981
L2230 L1271 0.974
L0853 L2233 0.588
L0853 L0275 0.027
L2442 L2232 0.618
L2442 L0417 0.490
L2232 L0417 0.023
L2233 L0275 0.687
L2233 L0395 0.586
L2235 L1313 0.128
L2235 L2200 0.932
L1313 L2200 0.605
L0673 L0686 0.616
L0673 L1222 0.810
L0676 L1212 0.003
L1181 L1628 0.003
L1181 L0345 0.943
L1278 L0438 0.989
L1278 L0487 0.079
L0686 L0977 0.989
L1674 L0345 0.999
L1612 L0315 0.073
L1212 L0681 0.024
L1628 L0345 0.003
L1218 L0395 0.072
L0672 L1111 0.154
